NOME;DATA;HOSPITALIZAÇÕES;ÓBITOS;CURADOS;UTI;INTUBAÇÃO;REGIÃO
Todas;01/01/2021;19;7;7;6;6;Todas
Todas;02/01/2021;21;6;10;10;3;Todas
Todas;03/01/2021;478;148;250;257;86;Todas
Todas;04/01/2021;866;260;475;487;168;Todas
Todas;05/01/2021;1271;350;760;748;191;Todas
Todas;06/01/2021;1602;454;949;907;251;Todas
Todas;07/01/2021;2015;585;1177;1159;319;Todas
Todas;08/01/2021;2283;671;1345;1329;376;Todas
Todas;09/01/2021;2340;671;1393;1291;379;Todas
Todas;10/01/2021;2558;774;1501;1386;438;Todas
Todas;11/01/2021;3646;965;2273;2135;519;Todas
Todas;12/01/2021;3688;1009;2297;2143;575;Todas
Todas;13/01/2021;4127;1131;2566;2375;604;Todas
Todas;14/01/2021;4218;1113;2660;2417;629;Todas
Todas;15/01/2021;4298;1195;2669;2448;666;Todas
Todas;16/01/2021;3965;1079;2476;2238;650;Todas
Todas;17/01/2021;3823;1033;2378;2230;608;Todas
Todas;18/01/2021;4705;1262;2976;2751;677;Todas
Todas;19/01/2021;4587;1200;2908;2729;641;Todas
Todas;20/01/2021;4500;1141;2920;2619;628;Todas
Todas;21/01/2021;4562;1180;2914;2693;655;Todas
Todas;22/01/2021;4210;1107;2676;2403;656;Todas
Todas;23/01/2021;3814;1013;2409;2223;629;Todas
Todas;24/01/2021;3743;1030;2340;2151;598;Todas
Todas;25/01/2021;4786;1225;3025;2831;692;Todas
Todas;26/01/2021;4427;1131;2852;2549;628;Todas
Todas;27/01/2021;4315;1103;2761;2547;625;Todas
Todas;28/01/2021;4262;1131;2686;2448;640;Todas
Todas;29/01/2021;4153;1070;2597;2397;658;Todas
Todas;30/01/2021;3708;971;2348;2142;564;Todas
Todas;31/01/2021;3643;991;2279;2080;576;Todas
Todas;01/02/2021;4614;1195;2902;2694;677;Todas
Todas;02/02/2021;4503;1139;2858;2555;661;Todas
Todas;03/02/2021;4576;1130;2935;2588;684;Todas
Todas;04/02/2021;4343;1106;2772;2509;660;Todas
Todas;05/02/2021;4280;1148;2673;2401;704;Todas
Todas;06/02/2021;3876;1006;2417;2124;667;Todas
Todas;07/02/2021;3765;1048;2329;2115;635;Todas
Todas;08/02/2021;4708;1201;2958;2683;710;Todas
Todas;09/02/2021;4609;1231;2901;2578;747;Todas
Todas;10/02/2021;4684;1189;3036;2679;737;Todas
Todas;11/02/2021;4671;1224;2924;2682;753;Todas
Todas;12/02/2021;4745;1226;2945;2690;782;Todas
Todas;13/02/2021;4177;1110;2642;2354;673;Todas
Todas;14/02/2021;4167;1215;2513;2310;749;Todas
Todas;15/02/2021;5301;1335;3349;3066;868;Todas
Todas;16/02/2021;5255;1402;3276;2985;873;Todas
