DATA;UF;UTI_INT_OBT_ZR;UTI_INT_OBT_UMA;UTI_INT_OBT_DAS;UTI_INT_OBT_TRS;UTI_OBT_ZR;UTI_OBT_UMA;UTI_OBT_DAS;UTI_OBT_TRS;UTI_INT_ZR;UTI_INT_UMA;UTI_INT_DAS;UTI_INT_TRS;INT_OBT_ZR;INT_OBT_UMA;INT_OBT_DAS;INT_OBT_TRS;INT_ZR;INT_UMA;INT_DAS;INT_TRS;OBT_ZR;OBT_UMA;OBT_DAS;OBT_TRS;ZR;UMA;DAS;TRS;UTI_ZR;UTI_UMA;UTI_DAS;UTI_TRS
09/01/2021;Todas;29;0;0;0;215;0;1;0;29;2;0;1;220;0;0;0;96;1;1;0;205;1;0;0;508;1;13;3;978;8;20;8
10/01/2021;Todas;42;0;0;0;206;0;2;0;27;0;1;0;267;0;2;0;93;0;6;0;253;1;1;0;528;3;16;2;1066;8;30;4
26/01/2021;Todas;50;0;1;0;313;1;4;1;51;0;0;0;382;1;1;0;137;1;4;0;374;2;1;0;936;8;25;6;2053;12;55;8
10/02/2021;Todas;58;2;0;0;338;9;2;0;58;2;0;1;408;5;4;0;195;1;2;1;356;7;0;0;976;11;31;8;2104;32;64;9
01/03/2021;Todas;152;4;2;0;681;50;7;0;75;2;3;1;927;21;3;0;291;5;4;0;578;17;1;0;1298;17;37;12;3535;55;127;31
16/03/2021;Todas;239;7;6;0;901;68;27;0;122;1;1;0;1330;37;14;0;365;4;15;0;795;35;14;0;1696;32;63;11;4546;116;119;23
17/03/2021;Todas;223;15;5;0;919;81;18;0;116;4;4;0;1222;48;12;0;370;8;8;2;834;32;14;0;1651;37;59;13;4502;80;150;22
02/04/2021;Todas;129;14;5;0;510;81;28;0;86;7;5;0;924;87;13;0;284;14;13;0;554;54;17;0;1188;74;60;6;3351;169;159;21
04/04/2021;Todas;97;17;5;0;515;92;33;0;89;4;2;1;835;90;17;0;242;20;6;2;553;81;11;0;1156;57;46;12;2987;171;173;24
18/04/2021;Todas;61;4;1;0;356;66;28;1;59;3;4;0;613;73;43;0;208;16;16;1;447;38;13;0;1067;66;73;5;2470;197;169;13
19/04/2021;Todas;73;11;8;0;412;81;37;0;68;5;4;0;707;101;31;0;238;12;18;1;521;67;30;0;1399;83;104;5;3143;225;228;9
20/04/2021;Todas;67;15;2;0;392;68;32;0;70;10;4;1;692;94;36;0;279;23;16;3;499;54;33;0;1300;74;67;15;3098;250;218;17
07/01/2021;Todas;28;0;0;0;181;0;0;0;17;0;1;0;193;0;1;0;76;0;2;1;181;1;0;0;387;2;10;2;901;9;21;1
08/01/2021;Todas;31;0;0;0;233;0;0;0;32;0;0;0;229;0;0;0;82;1;1;0;178;0;0;0;445;1;16;1;1002;5;20;6
27/01/2021;Todas;66;0;0;0;322;4;1;0;42;0;0;0;370;1;1;0;143;0;1;1;332;4;1;1;874;6;25;8;2032;11;55;14
15/03/2021;Todas;242;15;4;0;1023;70;28;0;131;3;3;0;1265;48;2;0;353;7;10;3;871;27;13;0;1713;20;52;10;4529;100;167;17
31/03/2021;Todas;166;18;3;0;669;81;26;2;92;7;9;0;1038;96;16;1;291;14;19;1;633;72;20;0;1488;51;63;11;3885;179;179;25
03/04/2021;Todas;109;19;4;0;555;104;35;0;79;8;3;1;948;107;24;0;251;13;16;1;578;58;17;0;1179;47;63;15;3093;200;162;23
05/05/2021;Todas;48;11;5;0;337;50;48;0;80;9;7;1;628;72;44;0;235;10;19;0;410;42;55;0;1402;87;110;13;2981;197;253;20
06/05/2021;Todas;39;8;6;0;337;56;51;0;58;9;5;1;547;71;42;0;233;16;11;1;401;57;43;0;1282;83;99;8;3010;201;259;17
22/05/2021;Todas;56;11;11;0;299;56;77;0;48;11;5;0;538;96;60;0;243;20;17;2;348;46;46;0;1239;108;112;14;2889;267;225;21
07/06/2021;Todas;54;13;18;0;355;55;98;0;78;8;6;1;533;95;83;0;235;35;25;1;344;59;68;0;1512;136;141;10;3523;420;349;18
09/06/2021;Todas;52;7;11;0;315;70;76;1;70;11;8;0;546;99;69;0;263;28;27;1;382;59;53;0;1363;137;151;10;3192;345;324;21
10/07/2021;Todas;15;2;7;0;120;31;64;0;27;13;9;0;220;69;76;0;131;36;23;1;170;36;59;0;745;122;109;14;1511;328;253;10
02/01/2021;Todas;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;2;0;0;0;5;0;1;0;8;0;0;0
15/01/2021;Todas;54;0;0;0;354;0;1;0;51;0;0;0;396;1;1;0;158;2;2;1;388;0;0;0;866;7;23;5;1925;13;39;11
17/01/2021;Todas;56;0;0;0;321;1;0;0;52;2;1;1;356;1;1;0;128;2;7;1;296;0;1;0;768;3;24;5;1748;8;34;6
03/02/2021;Todas;37;0;0;0;319;3;0;0;50;0;0;1;403;6;1;0;179;0;6;1;357;4;0;0;979;6;38;8;2070;34;67;7
07/03/2021;Todas;175;5;0;0;721;36;13;0;84;2;4;1;939;21;6;0;329;6;14;1;581;23;2;0;1115;18;39;5;3234;47;81;28
08/03/2021;Todas;194;6;0;0;849;59;12;0;100;1;4;0;1105;35;6;0;295;6;9;2;674;15;7;0;1586;17;51;7;4047;71;138;35
09/03/2021;Todas;185;8;3;0;822;60;16;0;109;3;4;0;1094;23;3;0;319;7;8;0;688;16;10;0;1533;16;43;12;4097;58;129;28
09/04/2021;Todas;113;25;3;0;422;88;32;0;82;7;4;0;848;103;18;0;245;21;16;0;530;80;23;0;1246;73;61;5;3154;227;200;12
27/04/2021;Todas;57;9;1;0;371;61;46;0;71;7;4;0;606;73;38;0;248;14;21;1;429;52;37;0;1284;77;91;9;3160;228;246;21
29/04/2021;Todas;54;9;6;0;301;51;41;0;62;3;6;0;617;64;35;0;272;19;17;2;431;56;38;0;1224;64;86;10;2690;210;233;11
12/05/2021;Todas;54;10;12;0;326;56;69;0;60;4;3;0;581;78;33;1;265;29;12;0;381;51;35;0;1350;111;117;12;3201;215;279;28
13/05/2021;Todas;55;10;12;0;340;53;57;0;76;5;8;0;573;79;46;1;247;22;14;1;426;70;32;0;1316;95;116;15;3036;226;283;16
