UF;POPULACAO;CODIGO;ANO;SIGLA;HOSPITALIZADOS;CURADOS;OBITOS;LETALIDADE;INCIDENCIA;MORTALIDADE
RONDÔNIA;1815278;11;2021;RO;10720;4459;3420;31.90;245.64;188.40
ACRE;906876;12;2021;AC;3518;2211;1190;33.83;243.80;131.22
AMAZONAS;4269995;13;2021;AM;21683;13410;6738;31.08;314.05;157.80
RORAIMA;652713;14;2021;RR;3449;1689;1158;33.57;258.77;177.41
PARÁ;8777124;15;2021;PA;35150;20625;9719;27.65;234.99;110.73
AMAPÁ;877613;16;2021;AP;3729;2827;881;23.63;322.12;100.39
TOCANTINS;1607363;17;2021;TO;9277;4097;2089;22.52;254.89;129.96
MARANHÃO;7153262;21;2021;MA;16773;9344;5411;32.26;130.63;75.64
PIAUÍ;3289290;22;2021;PI;14987;6942;3672;24.50;211.05;111.64
CEARÁ;9240580;23;2021;CE;61706;29494;14963;24.25;319.18;161.93
RIO GRANDE DO NORTE;3560903;24;2021;RN;15858;8363;4716;29.74;234.86;132.44
PARAÍBA;4059905;25;2021;PB;24703;14179;6307;25.53;349.24;155.35
PERNANBUCO;9674793;26;2021;PE;43372;18137;8027;18.51;187.47;82.97
ALAGOAS;3365351;27;2021;AL;18355;11303;4072;22.18;335.86;121.00
SERGIPE;2338474;28;2021;SE;15094;3653;3249;21.53;156.21;138.94
BAHIA;14985284;29;2021;BA;59136;35852;15323;25.91;239.25;102.25
MINAS GERAIS;21411923;31;2021;MG;195604;132656;47236;24.15;619.54;220.61
ESPÍRITO SANTO;4108508;32;2021;ES;10536;3983;3538;33.58;96.95;86.11
RIO DE JANEIRO;17463349;33;2021;RJ;132074;63278;36896;27.94;362.35;211.28
SÃO PAULO;46649132;35;2021;SP;460284;307484;109584;23.81;659.14;234.91
PARANÁ;11597484;41;2021;PR;131193;84506;29052;22.14;728.66;250.50
SANTA CATARINA;7338473;42;2021;SC;64378;45645;14161;22.00;622.00;192.97
RIO GRANDE DO SUL;11466630;43;2021;RS;98598;61662;28710;29.12;537.75;250.38
MATO GROSSO DO SUL;2839188;50;2021;MS;29244;20281;7343;25.11;714.32;258.63
MATO GROSSO;3567234;51;2021;MT;20606;12498;4938;23.96;350.36;138.43
GOIÁS;7206589;52;2021;GO;59275;39289;17528;29.57;545.18;243.22
DISTRITO FEDERAL;3094325;53;2021;DF;33280;24160;6895;20.72;780.78;222.83
