NOME;TOTAL;PRIMEIRA DOSE
Todas;134360;ASTRAZENECA
Todas;61945;SINOVAC
Todas;42368;CORONAVAC
Todas;303322;TOTAL
AC;278;ASTRAZENECA
AC;132;BUTANTAN
AC;32;SINOVAC
AC;459;TOTAL
AL;955;ASTRAZENECA
AL;263;SINOVAC
AL;143;CORONAVAC
AL;1757;TOTAL
AM;881;ASTRAZENECA
AM;220;SINOVAC
AM;123;CORONAVAC
AM;1679;TOTAL
AP;140;ASTRAZENECA
AP;69;SINOVAC
AP;50;BUTANTAN
AP;380;TOTAL
BA;2757;ASTRAZENECA
BA;1668;SINOVAC
BA;1091;CORONAVAC
BA;7800;TOTAL
CE;3102;ASTRAZENECA
CE;1174;SINOVAC
CE;656;BUTANTAN
CE;6108;TOTAL
DF;3257;ASTRAZENECA
DF;1704;SINOVAC
DF;500;BUTANTAN
DF;6278;TOTAL
ES;953;ASTRAZENECA
ES;487;SINOVAC
ES;352;BUTANTAN
ES;1954;TOTAL
GO;3620;ASTRAZENECA
GO;1632;SINOVAC
GO;787;BUTANTAN
GO;7996;TOTAL
MA;799;ASTRAZENECA
MA;304;SINOVAC
MA;196;CORONAVAC
MA;1563;TOTAL
MG;19393;ASTRAZENECA
MG;9578;SINOVAC
MG;6382;CORONAVAC
MG;43050;TOTAL
MS;2693;ASTRAZENECA
MS;1785;SINOVAC
MS;1124;CORONAVAC
MS;6928;TOTAL
MT;1277;ASTRAZENECA
MT;435;SINOVAC
MT;375;CORONAVAC
MT;2552;TOTAL
PA;1975;ASTRAZENECA
PA;601;SINOVAC
PA;340;BUTANTAN
PA;3672;TOTAL
PB;1880;ASTRAZENECA
PB;1245;SINOVAC
PB;707;BUTANTAN
PB;4221;TOTAL
PE;4715;ASTRAZENECA
PE;3820;SINOVAC
PE;305;COVISHIELD
PE;9377;TOTAL
PI;806;ASTRAZENECA
PI;510;SINOVAC
PI;246;BUTANTAN
PI;1913;TOTAL
PR;13018;ASTRAZENECA
PR;7723;SINOVAC
PR;3681;BUTANTAN
PR;28523;TOTAL
RJ;11950;ASTRAZENECA
RJ;6172;SINOVAC
RJ;3995;CORONAVAC
RJ;28232;TOTAL
RN;1067;ASTRAZENECA
RN;564;CORONAVAC
RN;487;SINOVAC
RN;2689;TOTAL
RO;344;ASTRAZENECA
RO;184;SINOVAC
RO;87;CORONAVAC
RO;763;TOTAL
RR;181;ASTRAZENECA
RR;103;SINOVAC
RR;55;BUTANTAN
RR;380;TOTAL
RS;8643;ASTRAZENECA
RS;8048;BUTANTAN
RS;3770;SINOVAC
RS;24922;TOTAL
SC;4997;ASTRAZENECA
SC;2978;SINOVAC
SC;1635;BUTANTAN
SC;11578;TOTAL
SE;777;ASTRAZENECA
SE;324;CORONAVAC
SE;201;SINOVAC
SE;1591;TOTAL
SP;42885;ASTRAZENECA
SP;21380;CORONAVAC
SP;14166;SINOVAC
SP;94871;TOTAL
TO;355;ASTRAZENECA
TO;228;SINOVAC
TO;100;CORONAVAC
TO;932;TOTAL
